"authors","year","title","booktitle","host_organisation","location","keywords","base_url","path"
"Kilsby and Laird and Bowers","2004","Australian Transport Infrastructure: Fit for Purpose?","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Kilsby_Laird_Bowers.pdf"
"Laird and Michell","2004","Interstate Rail Track Upgrading Options to 2014","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Laird_Michell.pdf"
"Lennie and Bunker","2004","Using Lateral Position Information as a Measure of Driver Behaviour Around MCVs","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2004/2004_Lennie_Bunker.pdf"
"Littlejohns","2004","The Chain of Information","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Littlejohns.pdf"
"Martin","2004","Are We Running Out of Oil?","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Martin.pdf"
"McPherson and Ashley","2004","Estimating Passenger Demand for Fast Rail Services with the Rooftop Model","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," rail public transport","http://atrf.info/papers/index.aspx","/papers/2004/2004_McPherson_Ashley.pdf"
"Meiklejohn and Semmens","2004","TravelSmart Universities: The Problems of Going to Scale","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Meiklejohn_Semmens.pdf"
"Mitchell","2004","Jumping At Shadows: A Review of Methodological Changes in the SMVU","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Mitchell.pdf"
"Mitchell and Jarrad","2004","Forgotten Needs","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Mitchell_Jarrad.pdf"
"Nairn","2004","Modelling or Muddling","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," modelling","http://atrf.info/papers/index.aspx","/papers/2004/2004_Nairn.pdf"
"Ockwell and Harvey and Evans and Tisato and Oxlad and Robinson and McGann and Harris and Peterson and Daniels and Perry and Legaspi and Doyle and Fisher and Hannah and Krause and Scott and Binning and Anderson","2004","Development of a National Assessment Methodology for Transport Proposals","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Ockwell_et_al.pdf"
"Parker","2004","Unsustainable Trends in the Australian Census Data for the Journey to Work in Melbourne and other Cities in Victoria","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Parker.pdf"
"Parsons and Stewart and McAlpine","2004","Designing Customer Focused PT Services on a Constrained Budget","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Parsons_Stewart_McAlpine.pdf"
"Paterson—Car Pooling","2004","Targeting for Success","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Paterson.pdf"
"Patrick and Tsolakis and Houghton","2004","Risk Analysis in the Evaluation of Transport Proposals","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Patrick_Tsolakis_Houghton.pdf"
"Pitaksringkarn and Taylor","2004","Location Modelling: Grouping Genetic Algorithm Using Geographic Information Systems","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," modelling","http://atrf.info/papers/index.aspx","/papers/2004/2004_Pitaksringkarn_Taylor.pdf"
"Primerano and Taylor","2004","Accessibility Evaluation of the Adelaide-Crafers Highway","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Primerano_Taylor.pdf"
"Pudney and Zito","2004","Predicting the Energy Use of a Solar-electric Commuter car","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," car","http://atrf.info/papers/index.aspx","/papers/2004/2004_Pudney_Zito.pdf"
"Rahman and Barber and Ray","2004","Surveying the Use of Third Party Logistics Services by Large Australian Manufacturers","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," logistics","http://atrf.info/papers/index.aspx","/papers/2004/2004_Rahman_Barber_Ray.pdf"
"Raicu and Taylor","2004","An Evaluation of Logistics Network Modelling Tools Available to South Australian Companies","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," logistics modelling","http://atrf.info/papers/index.aspx","/papers/2004/2004_Raicu_Taylor.pdf"
"Ram","2004","Integrated Local Transport Plan","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Ram.pdf"
"Rees and Lyth","2004","Exploring the Future of Car Use for an Ageing Society","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," car","http://atrf.info/papers/index.aspx","/papers/2004/2004_Rees_Lyth.pdf"
"Regan and Young and Triggs and Horberry and Mitsopoulos and Tornasevic and Johnston","2004","Intelligent Transport Systems and Injury Prevention: An Overview of Research Activities at the Monash University Accident Research Centre","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," ITS safety","http://atrf.info/papers/index.aspx","/papers/2004/2004_Regan_Young_Triggs_Horberry_Mitsopoulos_Johnston.pdf"
"Rice—Measuring Road Congestion","2004","Some New Ideas?","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Rice.pdf"
"Robinson and Powrie","2004","Oil Depletion: An Overlooked Factor in Transport Planning","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," planning","http://atrf.info/papers/index.aspx","/papers/2004/2004_Robinson_Powrie.pdf"
"Ronald","2004","The Role of Pedestrian Modelling in Planning for Special Events","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," modelling planning","http://atrf.info/papers/index.aspx","/papers/2004/2004_Ronald.pdf"
"Saunders and White and Spagnoletti—Integrated Passenger Transport","2004","a Model for Success from Regional South Australia","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Saunders_White_Spagnoletti.pdf"
"Somenahalli and Yue and Taylor","2004","A GIS approach to Transit Buffer Problem Analysis","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," public transport","http://atrf.info/papers/index.aspx","/papers/2004/2004_Somenahalli_Yue_Taylor.pdf"
"Smith and Olaru and Salim and Gannon and Marquez","2004","Traveller Information Services: Features Demanded vs Features Supplied","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Smith_Olaru_Salim_Gannon_Marquez.pdf"
"Smith and Sanderson","2004","Accessibility Modelling as a Tool for Appraisal of Transport Schemes","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," modelling","http://atrf.info/papers/index.aspx","/papers/2004/2004_Smith_Sanderson.pdf"
"Soltani and Allan","2004","Urban Form Impacts on Travelling Choices: a Study of four Suburbs in Metropolitan Adelaide","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Soltani_Allan.pdf"
"Stewart and Parsons","2004","Why Don't More People Catch the Bus?","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2004/2004_Stewart_Parsons.pdf"
"Stopher and Alsnih and Bullock and Ampt","2004","Evaluating Voluntary Travel Behaviour Interventions","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2004/2004_Stopher_Alsnih_Bullock_Ampt.pdf"
"Stopher and Collins and Bullock","2004","GPS Surveys and the Internet","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Stopher_Collins_Bullock.pdf"
"Stopher and Greaves","2004","Sample Size Requirements for Measuring a Change in Behaviour","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2004/2004_Stopher_Greaves.pdf"
"Szito","2004","Land Use Policy for the Primary Freight Network in Perth","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," freight land use policy","http://atrf.info/papers/index.aspx","/papers/2004/2004_Szito.pdf"
"Taylor and Scrafton and McCarney and Oxlad—Travel Demand Modelling in Australia","2004","Reviews of Practice and Promise in Perth and Adelaide","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Taylor_Scrafton_McCarney_Oxlad.pdf"
"Taylor and Smith and D'Este and Zito—Modelling the Impacts of Alternative Policy Options to Reduce Greenhouse Gas Emissions from Urban Freight Transport","2004","a Sydney Case Study","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Taylor_Smith_DEste_Zito.pdf"
"Tetther and Ferreira","2004","The Evaluation of e-Business Related Technologies in the Railway Industry","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Tetther_Ferreira.pdf"
"Tsang and Ho","2004","Modelling Issues on the Railway Resource Management Process Using Multi-agent Systems","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," modelling","http://atrf.info/papers/index.aspx","/papers/2004/2004_Tsang_Ho.pdf"
"Vogiatzis and Ikeda and Wibisono","2004","On the Locality-scope Model for Improving the Performance of Transportation Management Systems","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Vogiatzis_Ikeda_Wibisono.pdf"
"Wadhwa","2004","Achieving Sustainability through Integrated Transport and Land Use Planning in the Three Largest Australian Cities","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," land use planning","http://atrf.info/papers/index.aspx","/papers/2004/2004_Wadhwa.pdf"
"Walker and Harbutt and Morris","2004","Addressing Access and Mobility Issues in Rural and Regional Victoria","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Walker_Harbutt_Morris.pdf"
"Warn and Tranter and Kingham","2004","Fast and Furious 3: Illegal Street Racing","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Warn_Tranter_Kingham.pdf"
"Whiteley","2004","Transfund's Allocation Process for Land Transport in New Zealand","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Whiteley.pdf"
"Winn","2004","Measuring the Economic Benefits of Travel Behavioural Change Programs","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2004/2004_Winn.pdf"
"Xu and Taylor","2004","Microsimulation Modelling of Synthetic Populations","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide"," modelling simulation","http://atrf.info/papers/index.aspx","/papers/2004/2004_Xu_Taylor.pdf"
"Ygnace and Uno","2004","The Importance of Transportation Policies for Successful Intelligent Transportation Systems Deployment","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Ygnace_Uno.pdf"
"Yue","2004","Parking Management in Saudi Arabia: Is There Any Solution?","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Yue.pdf"
"Zhang and Taylor","2004","Incident Detection on Freeways: A Bayesian Network Approach","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Zhang_Taylor.pdf"
"Zito","2004","A Typical Adelaide Drive: How should it be Derived?","Proceedings of the 27th Australasian Transport Research Forum","South Australian Department of Transport & Urban Planning and Transport Systems Centre, University of SA","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2004/2004_Zito.pdf"
"Aldian","2003","Analysis of Travel Demand in Developing Countries: A Fuzzy Multiple Attribute Decision-Making Approach","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Aldian.pdf"
"Amoako and Ockwell and Lodh","2003","The Economic Consequences of the Health Effects of Transport Emissions in Australian Capital Cities","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Amoako_Ockwell_Lodh.pdf"
"Ampt","2003","Understanding Voluntary Travel Behaviour Change","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2003/2003_Ampt.pdf"
"Austwick and Fisher","2003","Air and Transport Indicators in New Zealand","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Austwick_Fisher.pdf"
"Ballingall and Steel and Briggs","2003","Decoupling Economic Activity and Transport Growth: the State of Play in New Zealand","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Ballingall_Steel_Briggs.pdf"
"Brennand—Planning the Transportation System for Economic Development","2003","A Survey of Some of the Initiatives being Investigated in Wellington","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Brennand.pdf"
"Brown and Ashley","2003","Greater Wellington's Trip Generation and Car Ownership: A Person Based Approach and its Implications","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," car ITS","http://atrf.info/papers/index.aspx","/papers/2003/2003_Brown_Ashley.pdf"
"Brown and Ashley and Murray and Liu","2003","Difficult Experiences and Innovative Features of the Wellington Transport Strategy Model Development: Trip Distribution, Mode Choice, Networks and Model Validation","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Brown_Ashley_Murray_Liu.pdf"
"Buckner and Moncrieff","2003","Managing the Environmental Impacts of Land Transport: a Measured Approach to Sustainability by Integrating Environmental Analysis with Urban Planning","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," planning environment","http://atrf.info/papers/index.aspx","/papers/2003/2003_Buckner_Moncrieff.pdf"
"Bullock and Jiang","2003","Measuring Bus Performance Using GPS Technology","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2003/2003_Bullock_Jiang.pdf"
"Casey and Kierce—A","2003","Transport Economics and Policy in Australia","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," policy transport economics","http://atrf.info/papers/index.aspx","/papers/2003/2003_Casey_Kierce.pdf"
"Cleal and McIntyre—Addressing the Problem of Road Transportation of Overweight Intermodal Freight Containers","2003","An Australian Approach to an International Problem","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Cleal_McIntyre.pdf"
"Clement and Taylor","2003","Towards Investigating Vehicular Delay Reductions at Signalised Intersections with the SPA System","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Clement_Taylor.pdf"
"Collyns","2003","Integrating Bus Priority Systems in Auckland","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2003/2003_Collyns.pdf"
"Cooper and Meiklejohn","2003","A New Approach for Travel Behaviour Change in Universities","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2003/2003_Cooper_Meiklejohn.pdf"
"Corpuz and Peachman","2003","Measuring the Impacts of Internet Usage on Travel Behaviour in the Sydney Household Travel Survey","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2003/2003_Corpuz_Peachman.pdf"
"Cotgrove","2003","Is Second Best Good Enough? London's Experiment with Urban Road Pricing","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," funding","http://atrf.info/papers/index.aspx","/papers/2003/2003_Cotgrove.pdf"
"Curran—Congestion Monitoring","2003","The New Zealand Experience","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Curran.pdf"
"Currie and Enright and Hoey and Paterson—Quantitative Approaches to Needs Based Assessment of Public Transport Services","2003","The Hobart Transport Needs Gap Study","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Currie_Enright_Hoey_Paterson.pdf"
"Currie and Kinnear and Wallis—Setting Public Transport Service Standards","2003","An Economic Approach","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Currie_Kinnear_Wallis.pdf"
"Dantas and Yamashita and Lamar","2003","Analysis of the Evolution of Travel Demand in Urban Areas: A Neural Geo Temporal Modelling Approach","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," modelling","http://atrf.info/papers/index.aspx","/papers/2003/2003_Dantas_Yamashita_Lamar.pdf"
"Di Peitro and Hughes—TravelSMART Schools","2003","There Really is a Better Way to Go","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_DiPietro_Hughes.pdf"
"Douglas and Franzmann and Frost","2003","The Estimation of Demand Parameters for Primary Public Transport Service in Brisbane Attributes","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Douglas_Franzmann_Frost.pdf"
"Dravitzki and Cleland and Walton and Laing","2003","Measuring commuting pedestrians' concerns for personal safety and the influence of lighting on these concerns","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," safety","http://atrf.info/papers/index.aspx","/papers/2003/2003_Dravitzki_Cleland_Walton_Laing.pdf"
"Gammie and Vandersar","2003","Voluntary Employer Travel Plans: Can they work in New Zealand?","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Gammie_Vandersar.pdf"
"Gong and Hochmuth and Weatherburn","2003","Polycyclic Aromatic Hydrocarbons and Diesel Particulates","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Gong_Hochmuth_Weatherburn.pdf"
"Gong and Williams","2003","A Light Scattering Method to Measure Real-time Particulate Emissions","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Gong_Williams.pdf"
"Gordon and Lee","2003","Settlement Patterns in the US and Canada: Similarities and Differences Policies or Preferences?","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Gordon_Lee.pdf"
"Guria and Leung","2003","Is society willing to pay more for children's safety","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," safety","http://atrf.info/papers/index.aspx","/papers/2003/2003_Guria_Leung.pdf"
"Harbutt and Meiklejohn","2003","The Development of the Victorian TravelSMART Program","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Harbutt_Meiklejohn.pdf"
"Harper and Dunn—Accident Prediction at Urban Roundabouts in New Zealand","2003","Some initial results","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Harper_Dunn.pdf"
"Hughes","2003","The Australian National Railway Level Crossing Safety Strategy","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," safety","http://atrf.info/papers/index.aspx","/papers/2003/2003_Hughes.pdf"
"Hughes and Chambers and Lansdell and White","2003","Cities, Area and Transport Energy","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Hughes_Chambers_Lansdell_White.pdf"
"Jones","2003","The Problems of Success The Impact of NSW Growth in Rail Freight on Sydney's Rail System","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," freight","http://atrf.info/papers/index.aspx","/papers/2003/2003_Jones.pdf"
"Jurisich and Segedin and Dunn and Smith","2003","Experience of Using Flush Medians in Auckland City","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Jurisich_Segedin_Dunn_Smith.pdf"
"Keall and Frith","2003","Older Driver Crash Rates in Relation to Type and Quantity of Transport","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," safety","http://atrf.info/papers/index.aspx","/papers/2003/2003_Keall_Frith.pdf"
"Ker and Roth and James and Brog and Ashton-Graham and Ryle and Goulias and Richardson","2003","A Dialogue on Individualised Marketing: Addressing Misperceptions","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington","","http://atrf.info/papers/index.aspx","/papers/2003/2003_Ker et al..pdf"
"Ker","2003","Outcome-Based Appraisal of Travel Demand Management: Robustness and Pattern Recognition","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," demand management","http://atrf.info/papers/index.aspx","/papers/2003/2003_Ker.pdf"
"Kingham and Sturman and Spronken-Smith and Pearce and Wilson","2003","Estimating Traffic-related Air Pollution Exposure: The HAPINZ Study","Proceedings of the 26th Australasian Transport Research Forum","Greater Wellington Regional Council, Transit NZ, Transfund NZ and NZ Ministry of Transport","Wellington"," aviation","http://atrf.info/papers/index.aspx","/papers/2003/2003_Kingham_Sturman_SpronkenSmith_Pearce_Wilson.pdf"
